Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
0.290125,0.1942616861351506,0.158797923307407,0.1350568408973639,0.1177979735305323,0.1045943613323572,0.09411824794340333,0.08560306567705996,0.07852635287697866,0.07254665003168689,0.0674240296166269,0.06298455291963602,0.0590988219097501,0.0556684569243184,0.05261725630804689,0.04988523725109109
0.3191375,0.2171815086767909,0.1762515380869726,0.149448897481258,0.1301320395894695,0.1154255307690035,0.1038031053157629,0.094354669880285,0.08652378795191829,0.07991364704719492,0.07425537944255954,0.06935466981363377,0.06506730516641959,0.06128384681114162,0.05791965357744052,0.0549081801329345
0.3481500000000001,0.2411616849829748,0.1941380486869602,0.1640616562580192,0.1425958843222393,0.1263401866652046,0.1135353426843134,0.1031469576070878,0.09455149135728429,0.08730380197652289,0.08110485842154616,0.07573925433937331,0.07104752414295551,0.06690889123627562,0.06323009119177651,0.0599378915857307
0.3771625000000001,0.2665917409878285,0.2125189283251949,0.1789169352027403,0.1551993066579919,0.1373434175799851,0.1233276566561324,0.1119933711821269,0.1026106142473914,0.0947178999069609,0.08797302083173955,0.08213870922730232,0.07703977864241957,0.0725438180644396,0.06854874548305281,0.06497451022805809
0.4061750000000001,0.294155863163131,0.2315759795154581,0.1940399037914965,0.1679532206386724,0.1484407683813756,0.1331831800303102,0.1208750451825192,0.1107023686168732,0.1021567624396474,0.09486044393722615,0.08855345226066462,0.0830443786584744,0.07818886225764997,0.07387579784870771,0.07001817837181463
0.4351875000000001,0.3242946498876173,0.2512452501270941,0.2094598156256264,0.180869832264297,0.1596382963964311,0.143105281297252,0.1298034357097531,0.1188386800696651,0.1096212499191843,0.1017677292283735,0.09498391700154055,0.08906164481893217,0.08384426615624001,0.07921143493534655,0.07506904214566888
0.4642000000000001,0.3589401191190545,0.2717257812776535,0.2252109557417729,0.1939628532304093,0.1709426365361379,0.1530975892761899,0.1387807056392506,0.1270016826068911,0.1171122638351754,0.1086955037461581,0.1014305535605571,0.09509190885323383,0.08951027977359265,0.08455584883063444,0.08012725162353897
0.4932125000000001,0.4019016460410487,0.2931885005816189,0.2413338836924729,0.2072477612943476,0.1823610771882749,0.1631640204647982,0.1478091602668718,0.1352016551607263,0.1246403553604848,0.1156444214973856,0.1078938294134464,0.1011355140854151,0.09518716110538786,0.08990923726378712,0.08519296095834279
0.5222250000000001,0.4755579248150554,0.3158662006910712,0.2579796418782805,0.2207421201689557,0.1939016491069815,0.1733088100945714,0.1568912604823899,0.1434401323669217,0.1321889687593716,0.1226151649683856,0.1143742302679023,0.107192815954231,0.1008751764542215,0.09527180381512042,0.09026632852127636
0.5512375,1.899354875265782,0.3403939426727052,0.2750425373554907,0.2344659762413197,0.205573230089595,0.1835365475155089,0.1660296369197516,0.1517187382332802,0.1397672964753809,0.1296170648241661,0.1208722609844853,0.1132641825622443,0.1065746007705134,0.1006437581351463,0.09534751704689125
0.58025,1.915246676324913,0.3668822419554822,0.2926719298507822,0.2484423556232886,0.2173856689620172,0.1938522166604073,0.1752271057562981,0.1600391935894527,0.1473764538804506,0.1366349691692459,0.1273884465556561,0.1193499952558183,0.1122857180106822,0.1060253161737354,0.1004366937842589
0.6092625,1.931037895298149,0.3968657252881682,0.3109640550625708,0.2626978939442018,0.2293499333529402,0.2042612424963565,0.184486686398231,0.1684033237996086,0.1550176143189015,0.1436770871675327,0.1339310461533141,0.1254506492381134,0.1180088215136394,0.111416700419897,0.1055340306545236
0.638275,1.946733767605381,0.4325674011613271,0.3300423251804289,0.2773536994160568,0.2414782870084874,0.2147695445674033,0.1938116213306016,0.1768130672575345,0.1626920135369255,0.1507442468501999,0.1404862897659002,0.1315665542173486,0.1237442143967234,0.1168181401527644,0.1106397044151663
0.6672875,1.962340121338338,0.4810286915357637,0.3502544853010923,0.2922954337499135,0.2537845041015659,0.2253835989790727,0.2032053984594799,0.1852704847616755,0.1704009540809008,0.1578373149673119,0.1470615080829693,0.1376981350927746,0.1294922099722801,0.1222298717044107,0.1157538968313184
0.6963000000000001,1.977862295867116,1.688769642854412,0.3715556292075259,0.3076363729555793,0.2662841302967539,0.2361105104875797,0.2126717763336692,0.1937777698821323,0.1781458100881672,0.1649571997418147,0.1536573274846257,0.1438536217456158,0.1352531321861799,0.1276521387351612,0.1208767948544834
0.7253125000000001,1.993305194998654,1.704029224348276,0.3943987904265082,0.3234317488549527,0.2789948034940151,0.2469580967543426,0.2222148127058496,0.2023372604486945,0.1859280325130798,0.1721048534788208,0.1602744008882995,0.1500188693092001,0.1410273160796588,0.1330851925221097,0.1260085908090492
0.7543250000000001,2.008673332830611,1.719122958161434,0.4196493551605004,0.3397491099187872,0.2920121465041597,0.2579349873372416,0.2318388969815861,0.2109514513090947,0.1937491548366903,0.1792812753814975,0.1669134095302825,0.1562012579646956,0.1468220179036016,0.1385292922615979,0.1311494825869932
0.7833375000000001,2.023970873665027,1.734056986712865,0.4480894528807278,0.3566725215084782,0.3052289338955964,0.2690507406514622,0.2415487872132786,0.2196230085304583,0.2016107993148022,0.1864875145934701,0.1735750645683474,0.1624012884828951,0.152624576890618,0.1439847053864616,0.136299673851207
0.8123500000000001,2.039201666894234,1.748843625066781,0.4821607603052196,0.3744735888333816,0.3187321143929551,0.2803159829965942,0.2513496524302081,0.228354785245155,0.2095146838265259,0.1937246734899038,0.1802601087978369,0.1686194811157597,0.1584415440954253,0.1494517078989067,0.1414593742478943
0.8413625000000001,2.054369277609986,1.763493831505469,0.5292759426576256,0.3930366207573713,0.3325544239163967,0.2917425748853743,0.2612471212621953,0.2371498393759009,0.2174626293940078,0.2009939112419942,0.1869693184909546,0.1748563769356805,0.1642733093437679,0.15493739143669,0.1466287996285236
0.8703750000000001,2.06947701355744,1.778017402419742,1.526024655032815,0.4126707073590383,0.3467344551408336,0.3033438114254771,0.2712473380221068,0.2460114535152109,0.2254565684539211,0.2082964476825143,0.1937035053699621,0.1811125389151875,0.170120276345822,0.1604291519688331,0.1518081722818442
0.8993875000000001,2.084527948951433,1.792423134038039,1.541378740781982,0.4338909033091055,0.3613182909159747,0.315211064683746,0.281357027673419,0.254943157282645,0.2334985539728516,0.215633567503381,0.2004635187260803,0.1873885530763017,0.1759828636220958,0.1659334422530386,0.1569977211765087
0.9284000000000001,2.099524945588001,1.806718956433248,1.556457856196477,0.4567737011072001,0.376361609404459,0.3272263925795456,0.291583571439165,0.2639487525416228,0.2415907695121826,0.2230066248199802,0.2072502476971176,0.1936850297149595,0.181861505202186,0.1714505803498588,0.1622043080325643
0.9574125000000001,2.1144706716152,1.820912045404844,1.571269564393332,0.4825186949410757,0.3920678366113041,0.3394715397172511,0.3019350952291244,0.2730323419282703,0.2497355403638583,0.2304170481413016,0.2140646237182248,0.2000026047064103,0.1877566513642833,0.17698089478327,0.1674155622029821
0.9864250000000001,2.129367618270725,1.835026646924103,1.58583987370075,0.5126894154913143,0.4083031372955613,0.3519696531891565,0.3124205736018676,0.2821983612308376,0.257935345896936,0.237866345789871,0.2209076231617132,0.206341940898034,0.1936687694182897,0.1825247252851984,0.1726377695089143
1.0154375,2.144218114847254,1.849036843898194,1.600191131477539,0.5511034707475972,0.4252785768527658,0.3647474120786729,0.3231106046299821,0.291451616263542,0.2661928332766664,0.2453561118211238,0.2277802701836055,0.2127037295966244,0.1995983445356207,0.1880824232838539,0.1778711915377296
1.04445,2.159024342107791,1.862962152951601,1.614342670699908,0.631764512425963,0.4431429650310211,0.3778359368264573,0.3339073911236292,0.300797325008241,0.2745108327436629,0.2528880324983719,0.2346836397965378,0.2190886921578531,0.2055458806290267,0.1936543524181923,0.1831160978378991
